Dūmešis
Blauzgalas
Dainava
Juodė
Svalė
Pagraistupys
Apvardas
Plaušmirkis
Pryga
Obeltis
Vajų upelis
Vaidvilkis
Žagienis
Paukštupis
Bebrė
Svetus
Sengynė
Pravala
Žiba
Vėžpievis
Rogupis
Rūdupys
Vėzgė
Cedruona
Šelmenta
Purlė
Plentauka
Tauragna
Vadaksnis
Šarkupis
Onupis
Smailiūtis
Grivančiupis
Bijotas
Stujų upalis
Užlupys
Triumpikė
Telingupis
Juodavas
Drobūkštis
Gumbrė
Vervedis
Virėkšta
Molupis
Kiementa
Domeikiškė
Bubinas
Skaistupys
Tverkta
Lyžena
Luolys
Ažynėlis
Dvarčanka
Sarkainis
Vaikštaris
Bubrikas
Šešuola
Žioglupis
Yžninė
Lėkinys
Vėgėlupis
Daugupys
Šniūrų Šakelė
Bikenis
Tumulšia
Želva
Strautas
Grybupis
Abisdra
Rulia
Žalčiupys
Zuniškė
Tekupys
Diegupis
Kerupis
Lakmenia
Nizelė
Šėmė
Judrė
Jasnogurka
Brukis
Kuisa
Grambesa
Vikšupys
Palonas
Sartis
Tiltmedys
Žeimena
Rindė
Skriaudutis
Padrobšys
Vilkvedis
Nerka
Rudupis
Menčtrakis
Ilga
Kasikas
Kardonėlis
Šilinėlis
Puokupis
Svinčelė
Dobilupis
Šakyna
Viemuonia
Šlyna
Šiulė
Grumbė
Smeltaitė
Lankuva
Baudys
Dubysėlė
Dubrius
Beržupis
Luokesaičio upelis
Vidauja
Santaka
Ešerinis
Varginys
Sruoja
Suliavėlė
Viekvedys
Triduonių upelis
Bobylas
Bytvanas
Malmaža
Paltys
Vilkesa
Gardinas
Šiladis
Kališupis
Šermutas
Pertakas
Praviena
Ilgabradas
Skaistė
Alaukstis
Šeimena
Zompčupelis
Laukupė
Šiekštumas
Kamšia
Morkiškis
Blanka
Laimutis
Viršytis
Baronėlė
Veršupys
Rietaviškė
Mižupis
Lynupis
Šakynė
Smalinė
Deksčius
Rūkbalė
Degimas
Jurgravys
Pajuodvalkis
Šakė
Upelis
Utalina
Stumbrinė
Taušė
Linksnio upelis
Prašuvys
Ragupis
Veršiukas
Koplyčianka
Lapišė
Augūnė
Liūnagriovis
Gudintakis
Plautupis
Juostinas
Starkupis
Degesupis
Rata
Debgalio upelis
Mokia
Viliaupė
Didžprūdis
Brideikis
Juodkriaunis
Bikava
Laukupis
Rukis
Geldupis
Kena
Ratnyčia
Varelis
Rudupys
Salvis
Rangava
Jaugila
Paukštė
Laukė
Gėgžnas
Dobilynė
Klišupė
Žiedupis
Brėškinys
Taipėda
Kiauliškė
Nibrinė
Subedis
Šlaunis
Pilvė
Trišiūkštė
Merkys
Žvikinė
Gaspadava
Pašupelė
Padotnuvio upelis
Šalčykščia
Bražylė
Asėka
Lapymas
Serbentinė
Pašakarnis
Daugupis
Trinkė
Marūniškė
Duoba
Vikšrupis
Kreidupis
Ižupis
Skerdupis
Aista
Kamona
Gurnupelis
Nenupė
Ramojus
Topalis
Žirgė
Sidabra
Audra
Apynėlis
Laiga
Pelėdupis
Dabruotas
Jurgupis
Sargupis
Taurupis
Burgelis
Vinkšnupys
Kliepšė
Šiužė
Ditva
Žeimikė
Lumupis
Kiaunė
Kesė
Patiniškis
Almaja
Karnupis
Urkis
Kerpis
Galarknė
Smertupalis
Žagaris
Ažagis
Mara
Skėmis
Vaičiukupis
Mukna
Mamavys
Lūšis
Medinupė
Dubenėlė
Pakasa
Vosgautas
Bražuolė
Raudžio upelis
Paulynavos upelis
Čyžvardė
Nerema
Lakštalaža
Vedega
Santaika
Blidakė
Limšius
Duobelupis
Aiseta
Likupys
Dubakė
Žiežmojus
Gauja
Žižmiagrovis
Dumbliukas
Airupė
Raišupis
Šeškupis
Kesautis
Šiaušė
Kuliava
Vitkupis
Blindis
Meduja
Termentas
Paversmis
Karčiupis
Driūbas
Vičupis
Duobužė
Gaidynė
Karvelninkas
Durbinis
Giesvianka
Melnyčravis
Dreverna
Grabupė
Žirgupė
Marginis
Kumelupis
Krūvanda
Plunkė
Nasėvela
Raudupis
Tarandė
Žaltinys
Pilsupis
Nerotis
Daubalė
Luokupis
Nausė
Liepeika
Gumyža
Šešėvė
Tuola
Žalpikė
Sriautelis
Upio Galas
Senupis
Plaušinė
Šliaužupis
Sraujelė
Vandupiukas
Nota
Pagromėlė
Živinta
Žalesys
Aitralė
Balina
Raudonmeižis
Kamainė
Smala
Purvė
Graužuoja
Aknysta
Susiena
Yslykis
Prūdelis
Varlupė
Tiltabalė
Dubalė
Suraižos upelis
Gadeikupis
Drukys
Kerūlė
Drūktis
Žvėrupis
Liepelė
Prabauda
Sirija
Padumburė
Milmantas
Žiogis
Braizgė
Ažytė
Vilktupis
Dainupis
Tenžė
Adinčiava
Vaiguva
Apšė
Krakila
Tūrupis
Žvaranta
Naujoji Vilka
Smilga
Talkotas
Ašvija
Malūnkalnis
Šona
Pacekluonis
Pievulupis
Žalpė
Lieda
Seira
Nesekė
Aulamas
Gėdupelis
Užluobė
Žirnelis
Drūtupis
Uolinta
Urka
Vembrė
Vynija
Nopaitys
Vėsupė
Beržtupys
Čekupis
Viemuonis
Eglė
Ežerėlė
Marniulis
Kuzupelis
Vardaunia
Pentinupis
Skardžiukas
Aukštažys
Šustis
Drūčiupis
Vikšrynė
Bernaupis
Alnupis
Maišinė
Skatulė
Smeltė
Panuotekis
Ožupelis
Trikojis
Pagrinda
Genys
Mera
Meldikupė
Lieknelis
Vidaujaitė
Užtvinimas
Surmia
Vyžuona
Elmė
Dūmė
Bonė
Viščiova
Aniuoliukas
Spartas
Aisė
Nyka
Strauja
Paikis
Tošė
Antytupis
Užkertus
Viešinta
Verpelis
Terpinė
Želtupė
Plytupis
Lugaunė
Mėlupis
Pagardenis
Putnupys
Upiškių upelis
Upelio Griovys
Verdeksnis
Burbiliškis
Lapienė
Sanžilė
Dargupys
Miklinys
Babranka
Verža
Dumsis
Dargužis
Malamoji Grabė
Žiuržmotis
Vilka
Šalteikė
Aukseliškė
Stunis
Skambalinis
Rašė
Svaigė
Strazdupis
Žiegelė
Burliokupis
Sudervė
Neprudka
Gabižius
Vadė
Dubysa
Tyrelupis
Baltoji Ančia
Trumpė
Barškupys
Miežupis
Šlynupys
Šumas
Žiogupalis
Nalošas
Lankis
Pavara
Pulšis
Žagarynė
Vilnutis
Parstokas
Kepštys
Petruškė
Sarva
Paliutė
Eglynupis
Medžiotė
Gilvitinė
Kumponas
Tamošupis
Ageniškė
Gervelė
Lankstupys
Naulankis
Milys
Pienia
Skroblupis
Varapolis
Ilgė
Krempa
Viršurodukis
Geniotalis
Driūbinas
Uvėda
Skalbupis
Gedinmiškė
Gaidžiupis
Mišeikis
Beržuolė
Šetekšna
Kodžiupis
Balsupis
Kumpuolėja
Ditupė
Briedžiupis
Kamaria
Jėrubynas
Miklūsas
Vapsa
Dumblys
Vidupė
Smilgupis
Buivydžių upelis
Lytis
Upė
Uolė
Raizgis
Taurija
Greižina
Laukysta
Dagiliškis
Šakiškis
Margeliai
Butkų upelis
Vajota
Kirmėliškė
Dindžiakė
Nasupis
Rešketa
Įstras
Strūna
Amalis
Bezdonė
Nikajus
Grūta
Lokysta
Žemoperša
Girdžiunka
Mažasis upelis
Kisupė
Ežerėlis
Ušna
Ūžys
Berkina
Gulbinė
Lašišupis
Juodėja
Paparčia
Širkšnė
Tamsė
Riešė
Kušla
Kraščia
Vaineikupis
Šaltupys
Ratlankstis
Kalnupis
Kirkšnovė
Luknia
Bėravalka
Valčiuva
Mikasa
Vilbėnas
Tinalupis
Nevelis
Mielka
Šiladėlis
Nevarda
Ruklelė
Leštupys
Naktakė
Dydiškių upelis
Šlavanta
Kreivė
Žiurkinas
Rudamina
Bamblynas
Storė
Kubilių upelis
Įkojis
Rastupis
Ūlyškas
Suvirkštė
Uoginis
Medinė
Bėnupė
Vabalas
Gėrupis
Armuliškis
Griežupis
Graužinė
Tolupė
Baliūniškės
Biglainis
Šuoja
Virsnė
Uosupė
Kemeša
Vykelė
Lakštena
Bėrelė
Marmalė
Lapė
Višakis
Kraujupis
Skriodė
Blauzda
Darimis
Aluotis
Samava
Suliava
Gilioji Grabė
Miseliškė
Karklė
Šventjonis
Skirvytė
Rokklonis
Jovaris
Mošia
Ringovė
Rausvė
Amalė
Rimšiškė
Pašilės upelis
Visgailė
Knytelė
Šilia
Graumena
Lolyčia
Mišupė
Skarnupis
Gervinas
Žilma
Bonalė
Bradaulis
Kriokliukas
Viržuona
Bistryčia
Girotakis
Kukulynas
Stelmužė
Ventos perkasas
Žiežulna
Pašaulė
Varnaitis
Vidaujėlis
Šilelė
Šiekštupis
Žąsinas
Urvena
Utenaitė
Dubulė
Kviesinis
Beržiupė
Navada
Degupis
Šulininkų upelis
Graumuo
Kulmena
Pusupis
Žvejotgalos upelis
Girstulė
Kurtuva
Sėda
Veltupys
Vismanta
Rudekšna
Kertuojos upelis
Kamoja
Svirnupis
Vermenė
Vejuona
Praustuvė
Kruonė
Paislė
Valinė
Giedulis
Virda
Limenė
Globelis
Taurožė
Žioklanis
Deičiupis
Pakaršuvė
Bebrujis
Gėjaus upelis
Danė
Skripėtiškių upelis
Sklinda
Mažoji Sruoja
Nedzviadka
Lazdynupis
Apušis
Kriaukė
Dorupis
Šumera
Dauglaukis
Minčia
Graužė
Ersla
Vedreikė
Mustupis
Derkys
Klamputis
Lokys
Nabutiškė
Gužupys
Indija
Juodoji
Musteika
Dievo upelis
Musė
Dringykščia
Širvinta
Elna
Dėnis
Svėdubė
Plačiuva
Žvirgždukas
Alėja
Gėgė
Taltupis
Ožragis
Minava
Mačiula
Kriokšlys
Perčina
Svirnių ravas
Sėmena
Gervingrabė
Vilkbalė
Beržtalis
Vilsa
Melnyčėlė
Prienupė
Vilkupis
Vilniškis
Varėnė
Lokupė
Raistas
Tranys
Juostinėlis
Murgų upelis
Ežerotakis
Sūduonia
Serbentinis
Srautelis
Daržapievis
Upis
Karvelpis
Upita
Vidurbalis
Nemunėlis
Aušrupis
Gystus
Uosija
Margų upelis
Malamasis Griovis
Ašva
Muselė
Ašarėna
Varnė
Strebukas
Lavysa
Šalčia
Laukesa
Saldus
Sriaučiukas
Audubalės upelis
Viluinis
Pėdamė
Trasinė
Merkio-Vokės kanalas
Kutuvis
Lankupa
Kisė
Šaunys
Dobilė
Rievupis
Vartyčia
Laba
Strepetinės upelis
Sulpys
Burbesis
Morkavo upelis
Laidė
Smiltinė
Vizdija
Šventelė
Alnė
Liaušupis
Dulgelė
Peštys
Metelytė
Spangupis
Miegotas
Alantas
Patrakė
Vabalkšnė
Vorusnė
Dubikė
Karupis
Meiliškių griovys
Pieštvė
Vyžupis
Karvelupis
Gelandupis
Uosos upelis
Vakoniškis
Dirsupis
Rašelė
Vilklakis
Lušinė
Skardupys
Sauginių upelis
Blusupis
Legetys
Dzirnė
Grąžalas
Žemoji Gervė
Kūra
Latuva
Raudesa
Liedas
Svirkalis
Bočiupis
Račintakis
Graužupys
Vėžupis
Rimuošė
Lukna
Varnas
Vėdrupys
Plaštaka
Noreikupė
Skerdūmė
Ūgė
Lijonas
Pabaliai
Peršėkė
Tatula
Daugšupis
Šilupė
Ramunis
Gedvydas
Duburė
Vardas
Kiauna
Balčia
Dryžupė
Algupys
Dubupis
Lokaušupis
Žalialieknis
Senoji Grūda
Lielukas
Smardonė
Varnupė
Šaltgrindis
Juodiša
Jiešmenėlis
Kūšupis
Stabė
Purvas
Medupis
Ožupis
Panolė
Nezdilė
Paupeliai
Eržvilkai
Juodupis
Spengla
Epušės upelis
Kriokupys
Liūdė
Pala
Asiūklė
Balsė
Saria
Vaitupis
Globys
Orija
Kastys
Juodas upis
Liliava
Pukinė
Šaltinis
Gliaudė
Šarkvedis
Nuoteka
Ilgelė
Jonupys
Kastinė
Svėdasa
Paslupis
Ardamėlių upelis
Medakupis
Juodvalkis
Kumulša
Piguičius
Šiekštė
Bebrusų upė
Raudis
Karaliaus Vilhelmo kanalas
Ulytėlė
Guronių upelis
Genutė
Dratvuo
Šukupis
Eglupis
Ryna
Rekstinas
Stirna
Skaudinis
Bizdelė
Žvirblis
Nosvė
Ramaulė
Stromelė
Skurbynas
Tūrė
Miedna
Ožkalaukis
Nykutė
Kurklė
Bedrė
Šlynaitė
Kruna
Viukšnupis
Jotija
Šiūšis
Serbentupis
Treinupis
Višpilis
Strankščius
Lylava
Dievogala
Alksnupis
Gludas
Rudė
Margis
Sengovija
Kamena
Kliaupis
Molaina
Pelesa
Alica
Ažynas
Vilenka
Petraičių upelis
Dervelis
Siengrabis
Tenenys
Žvirgždupis
Pestupis
Bremena
Šipeta
Kartupis
Veikas
Švendriukas
Verseka
Kiriena
Raudona upelė
Dysna
Paraistė
Gulbinas
Spalvė
Raguva
Ėglupis
Vingris
Šėta
Obelinė
Novena
Daulia
Zanyla
Vėrupis
Graumenalis
Bajormūšis
Pamakupys
Šelmuo
Legotė
Krūtis
Medinupis
Šėtupis
Taurė
Varnalaukis
Alauša
Ižena
Pjauniai
Sartelis
Vilkytis
Plienupis
Gvaizdupis
Lūžupis
Gaigalo upelis
Karnavė
Šiaušupis
Rytbalė
Virvytė
Virkulė
Čiauša
Maišiogalė
Šilupis
Narantis
Šakalė
Reteglė
Ježesta
Šūdkojis
Beržutė
Alna
Čyžupis
Paliūnys
Pakalys
Šilvada
Gulbė
Karklys
Sagavas
Duoburis
Karklynė
Raukėta
Intakaitis
Narsupė
Gamanta
Užlenkė
Imsrė
Skroblė
Ringė
Gojus
Alksnė
Uostrautas
Dubinė
Pečiuliškės upelis
Peičiupis
Gruodė
Šačia
Barzdėniškė
Latava
Armena
Kulka
Gervalė
Bitė
Benininkų upelis
Jevonis
Degalas
Vaičia
Alksna
Romatas
Vovera
Galba
Surglodė
Rimšupys
Postupis
Ilgis
Rakštis
Karklaupis
Akminynė
Giedrė
Mava
Ąžuolupis
Apyvardė
Padegėlių upelis
Katupis
Narupė
Šolupis
Kačerga
Kirkšnys
Šaltenis
Lapirda
Beržuoja
Bėrė
Kretiškės
Marčiupys
Valkupys
Peteša
Lendrupis
Poškupis
Mažoji upytė
Debrėstis
Taruškų upelis
Buojis
Šventupys
Rakija
Derėžnyčia
Žeimenėlė
Pušynė
Skersė
Kirnė
Duorupis
Kerupys
Gryva
Plaškuotas
Trumpukas
Brindziškė
Versnupė
Žvikė
Krioklė
Ražupė
Vadavė
Vilpisis
Striupė
Skardis
Klampupis
Klyčpievis
Noreikupis
Paupelys
Šederva
Malūndaubė
Kičupelis
Genupys
Kerbesas
Galupalis
Degsnys
Siesartis
Raseika
Žiogė
Gedgaudų upelis
Pabalia
Gvelbė
